[RECRUITMENT]
Date	17/05/23 08:33:03
Fichier	1684312383672.txt
Ventilateur	36373 
Système	3.0 
Version	3.0.1.61201 
Statut du contrôle avant utilisation	Succès
Dernière exécution du contrôle avant utilisation	13/05/23 15:43:55
Date format	dd/MM/yy
Language setting	fr_FR
Decimal separator	COMMA
==========
Heure de démarrage de la manœuvre de recrutement	08:06:03
Heure de fin de la manœuvre de recrutement	08:36:03
Plage horaire	30 Minutes

[DATA]
Durée	Cdyn (ml/cmH2O)	Fin PI (cmH2O)	PEP (cmH2O)	Vce (ml)	Vci (ml)	Pmotrice (cmH2O)	I:E ()	FR (resp/min)	IS ()
08:09:12	25,6	32	12	377	387	***	1 : 2,8	26	1,12	
08:09:15	25,5	32	12	381	390	***	1 : 2,8	26	1,12	
08:09:17	26,0	31	12	379	390	***	1 : 2,9	26	1,11	
08:09:19	26,5	31	12	380	388	***	1 : 2,9	26	1,11	
08:09:22	26,4	31	12	378	388	***	1 : 2,8	26	1,10	
08:09:24	26,6	31	12	379	387	***	1 : 2,8	26	1,08	
08:09:26	26,7	31	12	381	389	***	1 : 2,8	26	1,07	
08:09:28	26,8	30	12	379	389	***	1 : 2,9	26	1,05	
08:09:31	26,6	30	12	378	389	***	1 : 2,9	26	1,04	
08:09:33	26,4	31	12	377	388	***	1 : 2,9	26	1,03	
08:09:35	26,6	31	12	379	384	***	1 : 2,8	26	1,03	
08:09:38	26,1	31	12	382	391	***	1 : 2,8	26	1,05	
08:09:40	26,2	31	12	382	390	***	1 : 2,9	26	1,05	
08:09:42	26,3	32	12	379	388	***	1 : 2,9	26	1,08	
08:09:45	25,4	32	12	378	393	***	1 : 2,7	26	1,08	
08:09:47	25,5	32	12	380	388	***	1 : 2,8	26	1,11	
08:09:49	25,3	32	12	378	389	***	1 : 2,8	26	1,11	
08:09:52	26,2	32	12	381	390	***	1 : 2,8	26	1,12	
08:09:54	26,8	31	12	381	389	***	1 : 2,9	26	1,10	
08:09:56	26,9	30	12	382	390	***	1 : 2,9	26	1,09	
08:09:59	26,6	31	12	378	388	***	1 : 2,9	26	1,08	
08:10:01	27,6	31	12	380	388	***	1 : 2,9	26	1,08	
08:10:03	27,2	31	12	384	388	***	1 : 2,8	26	1,08	
08:10:05	26,3	31	12	387	388	***	1 : 2,8	26	1,08	
08:10:08	26,3	31	12	377	389	***	1 : 2,9	26	1,06	
08:10:10	25,9	31	12	380	389	***	1 : 2,9	26	1,06	
08:10:12	25,8	31	12	379	390	***	1 : 2,9	26	1,09	
08:10:15	25,8	31	12	377	387	***	1 : 2,8	26	1,09	
08:10:17	25,6	32	12	380	389	***	1 : 2,8	26	1,10	
08:10:19	25,7	32	12	379	388	***	1 : 2,8	26	1,10	
08:10:22	25,3	32	12	379	386	***	1 : 2,8	26	1,10	
08:10:24	25,9	32	12	379	389	***	1 : 2,8	26	1,11	
08:10:26	25,9	32	12	381	389	***	1 : 2,9	26	1,12	
08:10:29	26,0	31	12	381	392	***	1 : 2,9	26	1,10	
08:10:31	27,1	31	12	382	388	***	1 : 2,8	26	1,10	
08:10:33	26,7	31	12	380	388	***	1 : 2,8	26	1,08	
08:10:35	27,3	31	12	381	389	***	1 : 2,8	26	1,08	
08:10:38	27,1	30	12	381	389	***	1 : 2,9	26	1,06	
08:10:40	26,8	30	12	379	389	***	1 : 2,9	26	1,06	
08:10:42	26,5	31	12	378	389	***	1 : 2,9	26	1,05	
08:10:45	26,2	31	12	376	386	***	1 : 2,9	26	1,05	
08:10:47	26,5	31	12	381	388	***	1 : 2,8	26	1,05	
08:10:49	25,9	31	12	384	393	***	1 : 2,8	26	1,07	
08:10:52	26,0	31	12	382	391	***	1 : 2,9	26	1,08	
08:10:54	25,6	32	12	379	390	***	1 : 2,9	26	1,10	
08:10:56	25,2	32	12	378	388	***	1 : 2,9	26	1,10	
08:10:59	25,4	32	12	377	387	***	1 : 2,8	26	1,11	
08:11:01	25,4	32	12	378	384	***	1 : 2,9	26	1,11	
08:11:03	26,2	32	12	381	388	***	1 : 2,9	26	1,12	
08:11:05	26,1	32	12	383	387	***	1 : 2,8	26	1,12	
08:11:08	26,4	31	12	381	389	***	1 : 2,9	26	1,12	
08:11:10	26,5	31	12	381	389	***	1 : 2,9	26	1,12	
08:11:12	26,5	31	12	381	390	***	1 : 2,8	26	1,11	
08:11:15	27,6	30	12	380	388	***	1 : 2,8	26	1,10	
08:11:17	26,7	31	12	377	387	***	1 : 2,9	26	1,08	
08:11:19	26,7	31	12	376	389	***	1 : 2,8	26	1,07	
08:11:22	26,4	31	12	375	388	***	1 : 2,8	26	1,07	
08:11:24	26,6	31	12	378	388	***	1 : 2,8	26	1,06	
08:11:26	26,1	31	12	382	391	***	1 : 2,8	26	1,06	
08:11:29	26,3	31	12	382	389	***	1 : 2,8	26	1,08	
08:11:31	25,7	31	12	381	392	***	1 : 2,8	26	1,08	
08:11:33	25,6	32	12	379	389	***	1 : 2,8	26	1,10	
08:11:35	25,5	32	12	381	384	***	1 : 2,9	26	1,10	
08:11:38	25,5	32	12	376	387	***	1 : 2,9	26	1,10	
08:11:40	25,9	32	12	380	390	***	1 : 2,8	26	1,11	
08:11:42	25,6	32	12	380	388	***	1 : 2,8	26	1,12	
08:11:45	26,4	31	12	384	391	***	1 : 2,9	26	1,12	
08:11:47	26,1	31	12	382	390	***	1 : 2,9	26	1,11	
08:11:49	26,7	31	12	382	390	***	1 : 2,8	26	1,09	
08:11:52	26,8	31	12	382	390	***	1 : 2,8	26	1,09	
08:11:54	27,2	31	12	379	390	***	1 : 2,9	26	1,07	
08:11:56	26,9	31	12	379	389	***	1 : 2,9	26	1,07	
08:11:59	26,6	31	12	377	388	***	1 : 2,8	26	1,06	
08:12:01	26,8	31	12	379	388	***	1 : 2,8	26	1,06	
08:12:03	26,5	31	12	380	389	***	1 : 2,8	26	1,06	
08:12:05	26,2	31	12	380	390	***	1 : 2,9	26	1,06	
08:12:08	25,8	31	12	378	390	***	1 : 2,9	26	1,07	
08:12:10	25,6	31	12	376	387	***	1 : 2,9	26	1,09	
08:12:12	25,6	32	12	382	390	***	1 : 2,8	26	1,10	
08:12:15	25,2	32	12	376	388	***	1 : 2,8	26	1,12	
08:12:17	26,0	32	12	381	389	***	1 : 2,8	26	1,12	
08:12:19	25,6	31	12	381	390	***	1 : 2,8	26	1,12	
08:12:22	26,3	31	12	381	389	***	1 : 2,8	26	1,12	
08:12:24	26,6	30	12	383	392	***	1 : 2,8	26	1,11	
08:12:26	26,9	30	12	378	389	***	1 : 2,9	26	1,11	
08:12:29	26,7	31	12	379	390	***	1 : 2,9	26	1,10	
08:12:31	26,8	31	12	378	387	***	1 : 2,9	26	1,10	
08:12:33	27,2	31	12	378	384	***	1 : 2,9	26	1,10	
08:12:35	26,3	31	12	377	388	***	1 : 2,8	26	1,09	
08:12:38	26,4	31	12	381	389	***	1 : 2,8	26	1,09	
08:12:40	26,2	31	12	380	387	***	1 : 2,8	26	1,09	
08:12:42	26,2	31	12	383	391	***	1 : 2,9	26	1,09	
08:12:45	25,9	31	12	377	383	***	1 : 2,9	26	1,10	
08:12:47	25,5	31	12	378	389	***	1 : 2,9	26	1,10	
08:12:49	25,3	32	12	378	387	***	1 : 2,9	26	1,11	
08:12:52	25,6	32	12	379	394	***	1 : 2,7	26	1,11	
08:12:54	26,1	31	12	380	388	***	1 : 2,8	26	1,10	
08:12:56	26,8	31	12	380	387	***	1 : 2,8	26	1,10	
08:12:59	27,0	31	12	380	389	***	1 : 2,8	26	1,08	
08:13:01	27,0	31	12	376	387	***	1 : 2,8	26	1,08	
08:13:03	27,3	30	12	379	387	***	1 : 2,9	26	1,08	
08:13:06	26,5	31	12	378	388	***	1 : 2,8	26	1,09	
08:13:08	26,6	31	12	381	389	***	1 : 2,9	26	1,09	
08:13:10	26,1	31	12	380	388	***	1 : 2,9	26	1,07	
08:13:12	25,8	31	12	379	390	***	1 : 2,8	26	1,07	
08:13:15	26,2	31	12	375	385	***	1 : 2,8	26	1,10	
08:13:17	25,7	31	12	378	388	***	1 : 2,9	26	1,10	
08:13:19	26,0	32	12	380	388	***	1 : 2,9	26	1,10	
08:13:22	25,6	32	12	378	391	***	1 : 2,9	26	1,10	
08:13:24	25,9	32	12	379	390	***	1 : 2,9	26	1,11	
08:13:26	26,0	32	12	379	389	***	1 : 2,8	26	1,12	
08:13:29	26,6	31	12	384	392	***	1 : 2,9	26	1,12	
